,uuid,multiple_session_conducted,test_group
0,1002313,False,test
1,1003270,False,control
2,1003726,True,control
3,1003911,False,test
4,1005340,False,test
5,1006034,False,control
6,1007483,False,test
7,1007614,False,control
8,1008319,False,control
9,1008548,True,control
10,1010842,False,test
11,1010914,False,test
12,1013323,False,control
13,1013366,False,test
14,1013434,False,control
15,1013506,False,test
16,1014890,False,control
17,1015640,False,control
18,1016096,False,control
19,101624,False,test
20,1016724,False,control
21,1017618,False,control
22,1018769,False,test
23,101890,False,test
24,1019516,False,control
25,1021532,False,test
26,1021601,False,test
27,1022859,True,test
28,1023175,False,test
29,102376,False,test
30,1024233,False,control
31,1024283,False,control
32,1024407,True,control
33,1025038,False,control
34,1025560,False,test
35,1026421,False,control
36,1026656,False,control
37,10289,False,control
38,1029049,False,test
39,1029293,False,control
40,1029908,False,control
41,1033406,True,test
42,1033590,True,test
43,1033966,False,control
44,1035939,False,test
45,1036790,False,test
46,1041315,False,test
47,1041739,True,test
48,1043290,False,control
49,1043519,False,test
50,1043888,False,test
51,1044196,False,control
52,1045341,True,test
53,1050963,False,control
54,1052458,False,test
55,1052611,False,control
56,1053515,False,control
57,1054065,False,test
58,1054145,False,test
59,1055176,False,control
60,1055759,False,control
61,1057550,True,control
62,1057716,False,control
63,1057749,False,control
64,1058648,False,test
65,1059122,False,test
66,1060721,False,control
67,1060740,False,control
68,1061804,True,test
69,1061949,False,test
70,1062178,False,control
71,1062257,False,control
72,1063280,False,test
73,1064186,False,control
74,1064994,True,test
75,1065110,False,control
76,1065635,False,control
77,1065869,False,test
78,1066083,False,control
79,1066579,False,control
80,1067552,False,control
81,1067808,False,test
82,1068871,False,test
83,1071088,False,control
84,1074480,False,control
85,1075425,False,control
86,1076385,False,test
87,1076732,False,control
88,1077925,False,control
89,1078383,False,test
90,1079677,False,control
91,1084973,False,test
92,108715,False,test
93,1087442,False,test
94,1088908,False,control
95,1089751,False,control
96,1091173,False,control
97,1092490,False,control
98,1093084,False,control
99,109440,True,test
100,1094473,False,control
101,1096650,False,test
102,1097787,True,test
103,1100108,False,test
104,1100317,False,test
105,1101751,False,control
106,110248,False,test
107,1105192,False,control
108,1105430,False,control
109,1106142,False,control
110,1107248,True,control
111,110729,True,control
112,11081,False,test
113,1108250,False,test
114,1108463,False,control
115,1109300,False,control
116,1109390,False,test
117,1109940,False,control
118,1111668,False,control
119,1113278,False,test
120,1116516,False,control
121,1116690,False,control
122,1117513,True,control
123,1117718,False,control
124,1118403,False,control
125,1118853,False,test
126,1119108,True,control
127,1120836,True,control
128,1123971,False,test
